OBJECTID,GU_NAM,F_SHIM,F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,TYPE,OBJECTID_1,OBJECTID_2,BASE_YEAR,ADM_CD_2,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
"4391",영등포구,0.30,2022년 8.8 ~17. 호우,17.50,379.15,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구도림동 81-25,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1832",영등포구,0.30,2022년 8.8 ~17. 호우,17.27,110.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 109-8,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1831",영등포구,0.30,2022년 8.8 ~17. 호우,17.32,58.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 81-3,"2022","2022",상가,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"4392",영등포구,0.30,2022년 8.8 ~17. 호우,17.50,48.96,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구도림동 107-6,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1840",영등포구,0.30,2022년 8.8 ~17. 호우,31.70,112.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 32-4,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1842",영등포구,0.30,2022년 8.8 ~17. 호우,31.27,443.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 32-1,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1843",영등포구,0.30,2022년 8.8 ~17. 호우,29.84,126.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 32-5,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1847",영등포구,0.30,2022년 8.8 ~17. 호우,30.67,155.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 1-4,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1849",영등포구,0.30,2022년 8.8 ~17. 호우,23.47,165.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 56-1,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1853",영등포구,0.30,2022년 8.8 ~17. 호우,26.82,46.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 7-29,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
