UFID,NAME,DIVI,QUAL,UDDI,LENG,HEIG,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612016C00511ce83cbaa7514f58,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051a89a0eacf8244e15,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C00519b3de77a41d3441b,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C00517bdda508f9f64fcc,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C005174011bfcda194b74,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051d6c3973d27704c6e,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C00512d12c88546d84ce1,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C005120d43463551e44d6,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612018C0051cf4a1ae8e011421a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051b3b7c93db0234757,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00510a0dc6b1c17042af,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C005149d895b95be94cd9,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051cc31afd5e35144b8,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051c4767888fdf4421f,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051d7fab8077b184bbe,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00519d2a180161bc43d2,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00519cce310895524263,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C005175a48b2e8bb14627,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051dff1a544f59b43af,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00512e38c721d4194b07,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051e52b2ad39f514c6a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051992daa89761848f0,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C005133642c6fab374994,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051e0160c4bd03c4c1d,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00510df2e6e206b3442d,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C005187ba4ba877394f05,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0051392c01ca74dd4856,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0051ccaa6799aae84af8,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0051185edbf1e6d947af,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00511fde06611eb64d6a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C005124ac0243e2174a17,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C005164302de87a134e68,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00514ecb1eb2562a4ace,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0051a0e435d0eee144cd,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00514dea7a9254b644ce,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051107ea446a8c84e8d,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0051982539b4001b4f90,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2113252,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
