,AREA,PERIMETER,ELEVATION
802,202375.31,546739.91,26.59
803,202375.31,546649.91,30.59
804,202375.31,546559.91,34.04
805,202375.31,546469.91,40.55
806,202375.31,546379.91,44.58
807,202375.31,546289.91,42.45
808,202375.31,546199.91,38.84
809,202375.31,546109.91,34.23
810,202375.31,546019.91,29.21
811,202375.31,545929.91,25.83
812,202375.31,545839.91,22.11
813,202375.31,545749.91,19.63
814,202375.31,545659.91,20.88
815,202375.31,545569.91,22.71
816,202375.31,545479.91,21.59
817,202375.31,545389.91,19.22
818,202375.31,545299.91,19.71
819,202375.31,545209.91,27.67
820,202375.31,545119.91,36.53
821,202375.31,545029.91,42.76
822,202375.31,544939.91,35.65
823,202375.31,544849.91,30.58
824,202375.31,544759.91,34.77
825,202375.31,544669.91,33.74
826,202375.31,544579.91,27.1
827,202375.31,544489.91,22.0
828,202375.31,544399.91,19.26
829,202375.31,544309.91,18.09
830,202375.31,544219.91,16.82
831,202375.31,544129.91,16.04
832,202375.31,544039.91,16.14
833,202375.31,543949.91,15.99
834,202375.31,543859.91,16.03
835,202375.31,543769.91,16.45
836,202375.31,543679.91,16.41
837,202375.31,543589.91,16.35
838,202465.31,548899.91,4.51
839,202465.31,548809.91,4.61
840,202465.31,548719.91,4.71
841,202465.31,548629.91,4.8
842,202465.31,548539.91,4.94
843,202465.31,548449.91,5.08
844,202465.31,548359.91,14.94
845,202465.31,548269.91,20.03
846,202465.31,548179.91,19.0
847,202465.31,548089.91,18.97
848,202465.31,547999.91,20.38
849,202465.31,547909.91,23.16
850,202465.31,547819.91,24.06
851,202465.31,547729.91,23.85
852,202465.31,547639.91,23.44
853,202465.31,547549.91,22.89
854,202465.31,547459.91,22.15
855,202465.31,547369.91,20.77
856,202465.31,547279.91,19.0
857,202465.31,547189.91,17.31
858,202465.31,547099.91,17.98
859,202465.31,547009.91,20.16
860,202465.31,546919.91,22.74
861,202465.31,546829.91,25.56
862,202465.31,546739.91,27.47
863,202465.31,546649.91,28.42
864,202465.31,546559.91,30.69
865,202465.31,546469.91,35.18
866,202465.31,546379.91,40.31
867,202465.31,546289.91,41.03
868,202465.31,546199.91,36.19
