UFID,DIVI,QUAL,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612020C0061c619c8c8580f41a2,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C0061b7aa4f336d7340c6,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C0061d5d2fb6e9a7d4016,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C0061988a801b493e4a75,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C006197e8f328fa2c48cf,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612028C0061a09c8d2568ce43ed,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612028C0061eb4cd8ee98924092,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612028C00610cb5c0490670460f,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612028C0061f6503ffa05ba4beb,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612028C0061d239b6ce0d584da2,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612028C0061853733f9da094941,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612028C00617b1703fde9694581,SUD003,SUQ000,C0062243,S2114716,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
